student_name,nacionality,state,birthday,document,conclusion_date,course,workload,name,job_position
João Silva,Brasileiro,São Paulo,1990-05-20,12345678901,2023-07-15,Engenharia de Software,240 horas,Maria Oliveira,Coordenadora de Cursos
Ana Souza,Brasileira,Rio de Janeiro,1992-08-10,98765432100,2023-07-10,Ciência da Computação,300 horas,Paulo Almeida,Diretor Acadêmico
Carlos Pereira,Brasileiro,Minas Gerais,1985-12-03,11223344556,2023-06-20,Engenharia Elétrica,200 horas,Roberta Santos,Coordenadora Pedagógica
Beatriz Santos,Brasileira,Bahia,1991-03-15,99887766544,2023-08-05,Administração,180 horas,Fernando Ribeiro,Supervisor de Cursos
Lucas Almeida,Brasileiro,Pernambuco,1988-11-25,55667788990,2023-05-22,Design Gráfico,150 horas,Sandra Costa,Gerente de Ensino
Mariana Costa,Brasileira,Paraná,1995-04-18,44556677880,2023-09-30,Marketing Digital,220 horas,José Fernandes,Diretor de Projetos
Gustavo Lima,Brasileiro,Ceará,1983-06-22,66778899001,2023-11-15,Sistemas de Informação,310 horas,Aline Carvalho,Coordenadora de Programação
Renata Oliveira,Brasileira,Santa Catarina,1994-02-19,33445566778,2023-10-10,Pedagogia,200 horas,Carlos Gomes,Gerente Educacional
Fernando Rocha,Brasileiro,Rio Grande do Sul,1987-09-03,12344321123,2023-12-05,Biomedicina,250 horas,Luciana Torres,Supervisora de Formação
Patrícia Silva,Brasileira,Alagoas,1991-07-11,99881122334,2023-06-18,Psicologia,200 horas,Paulo Mello,Coordenador Clínico
Roberto Cardoso,Brasileiro,Amazonas,1986-05-27,11221122333,2023-04-25,Direito,300 horas,Ana Figueiredo,Diretora Jurídica
Marcela Mendes,Brasileira,Espírito Santo,1993-12-10,88776655443,2023-08-02,Arquitetura,250 horas,Fabio Silva,Coordenador de Projeto
André Almeida,Brasileiro,Goiás,1990-03-23,55667799880,2023-07-29,Gestão Ambiental,280 horas,Marina Santos,Gerente de Desenvolvimento
Paula Ribeiro,Brasileira,Mato Grosso,1992-09-14,99887711001,2023-05-07,História,220 horas,Fernando Souza,Diretor de Pesquisa
Ricardo Martins,Brasileiro,Rondônia,1989-04-30,33221144556,2023-03-20,Matemática,180 horas,Sandra Lima,Supervisora de Ensino
Juliana Carvalho,Brasileira,Acre,1994-06-25,77445533221,2023-11-01,Ciências Biológicas,290 horas,Felipe Andrade,Diretor de Ciência
Diego Borges,Brasileiro,Tocantins,1995-01-15,55667722334,2023-12-15,Filosofia,170 horas,André Costa,Gerente de Humanidades
Letícia Rocha,Brasileira,Maranhão,1988-11-22,66778855443,2023-10-22,Educação Física,260 horas,Fernanda Lima,Coordenadora de Esportes
Vitor Silva,Brasileiro,Paraíba,1992-08-18,88776644556,2023-09-05,Música,210 horas,Rafael Martins,Supervisor Artístico
Tatiana Lima,Brasileira,Sergipe,1987-05-14,99887766554,2023-07-14,Engenharia Mecânica,300 horas,Renato Costa,Coordenador Técnico
Eduardo Gomes,Brasileiro,Rio Grande do Norte,1993-12-28,22334455677,2023-06-09,Letras,190 horas,Livia Souza,Gerente de Linguagens
Alice Fernandes,Brasileira,Amapá,1990-02-17,11223344578,2023-05-19,Enfermagem,280 horas,Silvio Castro,Diretor Clínico
Rodrigo Barbosa,Brasileiro,Piauí,1985-10-02,33445566799,2023-04-11,Nutrição,200 horas,Paula Reis,Coordenadora de Saúde
Thais Oliveira,Brasileira,Pará,1991-07-07,44556677899,2023-08-24,Odontologia,240 horas,Fernando Castro,Gerente de Saúde
Felipe Souza,Brasileiro,Brasília,1984-09-20,55667788901,2023-10-12,Física,180 horas,Ana Melo,Diretora Científica
Catarina Mendes,Brasileira,Mato Grosso do Sul,1993-01-18,66778899022,2023-12-21,Geografia,230 horas,Luiz Almeida,Coordenador Geográfico
Hugo Ribeiro,Brasileiro,Piauí,1987-08-16,77889911223,2023-07-18,Administração Pública,210 horas,Fabiana Costa,Gerente Administrativo
Bruna Correia,Brasileira,São Paulo,1989-04-26,22334455666,2023-11-07,Turismo,160 horas,Paulo Silva,Supervisor de Turismo
Rafael Duarte,Brasileiro,Santa Catarina,1995-09-30,33445566788,2023-05-11,Jornalismo,310 horas,Marcelo Almeida,Diretor de Comunicação
Camila Ferreira,Brasileira,Bahia,1983-10-25,99887766554,2023-06-29,Psiquiatria,270 horas,Fernanda Duarte,Coordenadora de Saúde Mental
Marcelo Santos,Brasileiro,Ceará,1986-11-11,12345678999,2023-09-15,Estatística,150 horas,Joana Mendes,Gerente de Análise
Aline Castro,Brasileira,Pernambuco,1984-02-05,44556677880,2023-08-19,Química,240 horas,Pedro Costa,Diretor de Ciências
Vinícius Mendes,Brasileiro,Rio Grande do Sul,1991-12-07,66778899033,2023-04-16,Sociologia,260 horas,Mariana Gomes,Gerente Social
Sofia Ribeiro,Brasileira,Rio de Janeiro,1985-06-13,55667788900,2023-07-04,Fotografia,200 horas,José Lima,Supervisor Artístico
Clara Gomes,Brasileira,Acre,1989-08-02,11223344550,2023-10-31,Cinema,280 horas,Lucas Almeida,Diretor Artístico
Gabriel Santos,Brasileiro,Goiás,1987-07-23,88776655441,2023-06-12,Biologia,230 horas,Beatriz Silva,Gerente Científica
Vera Almeida,Brasileira,Paraná,1993-03-15,77889911221,2023-09-21,Engenharia Civil,310 horas,Samuel Rocha,Coordenador de Construção
Daniela Lima,Brasileira,Mato Grosso,1992-05-19,22334455655,2023-10-14,Economia,200 horas,Larissa Sousa,Gerente de Finanças
Ricardo Castro,Brasileiro,Paraíba,1988-10-21,99887766544,2023-05-10,Medicina,240 horas,Fabio Costa,Diretor Médico
Elaine Silva,Brasileira,Espírito Santo,1986-01-17,66778899011,2023-08-06,Antropologia,270 horas,Camila Souza,Coordenadora Social
Claudia Costa,Brasileira,Amazonas,1985-04-23,55667788922,2023-07-28,Filosofia,220 horas,Henrique Mendes,Gerente Cultural
Pedro Cardoso,Brasileiro,Rondônia,1991-08-25,77889911234,2023-11-30,Medicina Veterinária,280 horas,Paulo Oliveira,Diretor Veterinário
Larissa Lopes,Brasileira,Sergipe,1984-03-29,22334455622,2023-04-26,Engenharia de Computação,250 horas,Sofia Martins,Coordenadora de Tecnologia
Alberto Rocha,Brasileiro,Maranhão,1989-12-15,99887766500,2023-09-09,Engenharia Química,300 horas,Vinicius Gomes,Supervisor de Pesquisa
Rosa Pereira,Brasileira,Paraíba,1987-05-04,66778899002,2023-10-08,Zootecnia,170 horas,Andreia Silva,Gerente Rural
Victor Oliveira,Brasileiro,Alagoas,1985-06-20,44556677899,2023-08-14,Geologia,210 horas,Rodrigo Santos,Supervisor Científico
Debora Mendes,Brasileira,Bahia,1994-11-11,99887766543,2023-07-01,Gestão Comercial,160 horas,Mariana Sousa,Diretora Comercial
Leandro Ferreira,Brasileiro,Ceará,1988-07-03,11223344599,2023-09-06,Arquivologia,150 horas,Juliana Melo,Supervisora de Arquivos
Fátima Reis,Brasileira,Pernambuco,1993-08-29,55667788933,2023-11-25,Oceanografia,290 horas,Marcelo Costa,Gerente Marítimo
Isabela Rocha,Brasileira,Amapá,1990-10-13,33445566777,2023-06-08,Odontologia,300 horas,Carlos Santos,Diretor Clínico
Paulo Costa,Brasileiro,Rio Grande do Norte,1986-02-22,66778899020,2023-12-29,Enfermagem,270 horas,Renata Silva,Supervisora Clínica
Júlio Almeida,Brasileiro,Paraíba,1985-12-31,11223344588,2023-05-04,Biblioteconomia,180 horas,Fabiana Souza,Coordenadora Bibliográfica
Helena Costa,Brasileira,São Paulo,1990-12-05,12312312312,2023-08-15,Engenharia de Alimentos,280 horas,Caio Santos,Diretor de Pesquisa
Bruno Oliveira,Brasileiro,Rio de Janeiro,1992-03-19,32132132132,2023-09-25,Publicidade,210 horas,Ana Martins,Coordenadora de Marketing
Larissa Almeida,Brasileira,Minas Gerais,1987-11-08,65465465465,2023-07-18,Design de Moda,150 horas,Paulo Gonçalves,Supervisor de Estilo
Carlos Rodrigues,Brasileiro,Bahia,1989-04-14,98798798798,2023-10-05,Engenharia de Produção,220 horas,Juliana Lima,Gerente de Operações
Flávia Rocha,Brasileira,Paraná,1991-09-27,45645645645,2023-06-22,Psiquiatria,300 horas,Ricardo Costa,Diretor Clínico
Gabriel Santos,Brasileiro,Rio Grande do Sul,1988-07-30,78978978978,2023-11-11,Zootecnia,240 horas,Luiza Pereira,Coordenadora Agrícola
Aline Souza,Brasileira,Pernambuco,1994-01-11,32132112345,2023-04-15,Jornalismo,270 horas,Mário Lopes,Gerente de Comunicação
Rafael Vieira,Brasileiro,Mato Grosso,1995-06-20,67867867867,2023-12-01,Biotecnologia,320 horas,Clara Mendes,Supervisora de Pesquisa
